,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi
"11Matemaattisten Aineiden Opettajien Liitto, MAOL ryOhjelmointi ja koodaus peruskoulun matematiikassa",63026.0,194.0,0.0,671.0,11445.0,985.0,0.0,0.0,0.0,0.0,0.0,76321.0,0.0,0.0,0.0,0.0,0.0,0.0,-76321.0,75.69843649738036,,"Matemaattisten Aineiden Opettajien Liitto, MAOL ry",Ohjelmointi ja koodaus peruskoulun matematiikassa,5.0,,,,,,,,,,,,,,-0.2,0.3,0.1414213562373095,-0.02,0.0,11,1,01 Varhaiskasvatus
11Haaga-Helia Ammatillinen opettajakorkeakouluESSI - Esteetön ja digitaalinen kansalaisopisto,61470.0,0.0,5072.0,4234.0,1971.0,0.0,0.0,0.0,0.0,0.0,0.0,72747.0,0.0,0.0,0.0,0.0,0.0,0.0,-72747.0,77.68613117637828,,Haaga-Helia Ammatillinen opettajakorkeakoulu,ESSI - Esteetön ja digitaalinen kansalaisopisto,3.0,,,,,,,,,,,,,,0.2,0.9,0.28284271247461906,0.5,0.0,11,1,01 Varhaiskasvatus
11Kokkolan kaupunkiLukion opettajuus päivittyy  ohjaamaan tulevaisuuden osaamiseen,1142.0,600.0,266.0,39184.0,448.0,4768.0,0.0,0.0,0.0,0.0,0.0,46408.0,0.0,0.0,0.0,0.0,0.0,0.0,-46408.0,77.24989989810908,,Kokkolan kaupunki,Lukion opettajuus päivittyy  ohjaamaan tulevaisuuden osaamiseen,2.0,,,,,,,,,,,,,,0.0,0.8,0.17237792456347786,0.16071428571428575,0.0,11,1,01 Varhaiskasvatus
11Hämeen ammattikorkeakoulu OymOPO ei karkaa käsistä,22534.0,0.0,0.0,473.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,23126.0,0.0,0.0,0.0,0.0,0.0,0.0,-23126.0,98.15660173433528,,Hämeen ammattikorkeakoulu Oy,mOPO ei karkaa käsistä,1.0,,,,,,,,,,,,,,0.0,0.1,0.057735026918962574,0.06666666666666668,0.0,11,1,01 Varhaiskasvatus
"11Matemaattisten Aineiden Opettajien Liitto, MAOL ryTieto- ja viestintäteknologian pedagoginen hyödyntäminen matematiikassa, fysiikassa ja kemiassa",55915.0,210.0,0.0,294.0,9572.0,680.0,0.0,0.0,0.0,0.0,0.0,66671.0,0.0,0.0,0.0,0.0,0.0,0.0,-66671.0,76.9575728477612,,"Matemaattisten Aineiden Opettajien Liitto, MAOL ry","Tieto- ja viestintäteknologian pedagoginen hyödyntäminen matematiikassa, fysiikassa ja kemiassa",1.0,,,,,,,,,,,,,,-0.2,0.8,0.5131601439446883,0.3666666666666667,0.0,11,1,01 Varhaiskasvatus
11Lapin yliopisto / Koulutus- ja kehittämispalvelutLukioiden sähköiset oppimisalustat käyttöön 10 op,12846.0,0.0,1990.0,13230.0,1934.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,-30000.0,79.4194556330824,,Lapin yliopisto / Koulutus- ja kehittämispalvelut,Lukioiden sähköiset oppimisalustat käyttöön 10 op,1.0,,,,,,,,,,,,,,0.5,0.5,,0.5,0.0,11,1,01 Varhaiskasvatus
11Toimihenkilöjärjestöjen Opintoliitto ry / Helsingin aikuisopistoAikuisten maahanmuuttajien luku- ja kirjoitustaidon opettajaksi valmentava koulutus,45828.0,138.0,1520.0,33068.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,80709.0,0.0,0.0,0.0,0.0,0.0,0.0,-80709.0,78.27000115622816,,Toimihenkilöjärjestöjen Opintoliitto ry / Helsingin aikuisopisto,Aikuisten maahanmuuttajien luku- ja kirjoitustaidon opettajaksi valmentava koulutus,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11,1,01 Varhaiskasvatus
"11Opettajankoulutuslaitos, Helsingin yliopistoLukioiden kehittyvä ja sähköistyvä arviointikulttuuri – Arviointi aktiivisen ja tavoitteellisen oppimisen tukena",60422.0,3.0,2459.0,840.0,7081.0,0.0,0.0,0.0,0.0,0.0,0.0,70805.0,0.0,0.0,0.0,0.0,0.0,0.0,-70805.0,78.60289238656641,,"Opettajankoulutuslaitos, Helsingin yliopisto",Lukioiden kehittyvä ja sähköistyvä arviointikulttuuri – Arviointi aktiivisen ja tavoitteellisen oppimisen tukena,1.0,,,,,,,,,,,,,,-0.3,0.6,0.3674234614174767,0.2,0.0,11,1,01 Varhaiskasvatus
11Itä-Suomen yliopisto / AducateKasva johtajana,26286.0,0.0,2042.0,1543.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,30668.0,0.0,0.0,0.0,0.0,0.0,0.0,-30668.0,79.22769715849783,,Itä-Suomen yliopisto / Aducate,Kasva johtajana,5.0,,,,,,,,,,,,,,-0.4,0.7,0.159888553230039,0.1035238095238095,0.0,11,1,01 Varhaiskasvatus
"11Lapin yliopisto / Koulutus- ja kehittämispalvelutKOHO - Kohti oppimista, kotoutumista ja kasvua",40985.0,36.0,2268.0,233.0,2953.0,0.0,0.0,0.0,0.0,0.0,0.0,46475.0,0.0,0.0,0.0,0.0,0.0,0.0,-46475.0,79.30930548279787,,Lapin yliopisto / Koulutus- ja kehittämispalvelut,"KOHO - Kohti oppimista, kotoutumista ja kasvua",1.0,,,,,,,,,,,,,,-0.1,0.3,0.28284271247461906,0.1,0.0,11,1,01 Varhaiskasvatus
11Niilo Mäki InstituuttiOppimisen ja hyvinvoinnin kokonaisvaltainen tuki erilaisille oppijoille,146766.0,174.0,45150.0,3521.0,18064.0,1385.0,0.0,0.0,0.0,0.0,0.0,215060.0,0.0,0.0,0.0,0.0,0.0,0.0,-215060.0,21.45007587101255,,Niilo Mäki Instituutti,Oppimisen ja hyvinvoinnin kokonaisvaltainen tuki erilaisille oppijoille,2.0,,,,,,,,,,,,,,-0.2,0.9,0.2948118780597509,0.1875,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän kaupunki, Sivistyksen toimiala, Varhaiskasvatus ja perusopetusKoulussa digittää - Yhteisöllistä ja kestävää täydennyskoulutus Keski-Suomessa",149137.0,0.0,184.0,43552.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,192894.0,0.0,0.0,0.0,0.0,0.0,0.0,-192894.0,74.8676657528146,,"Jyväskylän kaupunki, Sivistyksen toimiala, Varhaiskasvatus ja perusopetus",Koulussa digittää - Yhteisöllistä ja kestävää täydennyskoulutus Keski-Suomessa,10.0,,,,,,,,,,,,,,-0.5,0.9,0.2892582974549048,0.19310317460317453,0.0,11,1,01 Varhaiskasvatus
11PRO koulutus ja konsultointi OyCOACHAAVA PEDAGOGINEN JOHTAJA ,27900.0,77.0,0.0,27900.0,3623.0,500.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,-60000.0,78.54668457522745,,PRO koulutus ja konsultointi Oy,COACHAAVA PEDAGOGINEN JOHTAJA ,2.0,,,,,,,,,,,,,,0.0,0.5,0.07071067811865478,0.275,0.0,11,1,01 Varhaiskasvatus
"11Oulun yliopisto, Täydentävien opintojen keskusKoko koulu kotouttaa",43688.0,0.0,0.0,788.0,125.0,305.0,0.0,0.0,0.0,0.0,0.0,44906.0,0.0,0.0,0.0,0.0,0.0,0.0,-44906.0,97.25258902580968,,"Oulun yliopisto, Täydentävien opintojen keskus",Koko koulu kotouttaa,2.0,,,,,,,,,,,,,,-0.2,0.3,0.08174238913695993,0.027272727272727268,0.0,11,1,01 Varhaiskasvatus
11Pro Practica OyKehittämiskouluverkosto 1 Jatko,71380.0,59.0,952.0,31865.0,4756.0,981.0,0.0,0.0,0.0,0.0,0.0,109993.0,0.0,0.0,0.0,0.0,0.0,0.0,-109993.0,78.34852467838121,,Pro Practica Oy,Kehittämiskouluverkosto 1 Jatko,3.0,,,,,,,,,,,,,,0.0,0.9,0.18708286933869708,0.1,0.0,11,1,01 Varhaiskasvatus
11Suomen Kuntaliitto ry.Sivistystoimen huippujohtajaohjelma 2,0.0,0.0,991.0,135040.0,1102.0,9326.0,0.0,0.0,0.0,0.0,0.0,146459.0,0.0,0.0,0.0,0.0,0.0,0.0,-146459.0,46.30490382439866,,Suomen Kuntaliitto ry.,Sivistystoimen huippujohtajaohjelma 2,1.0,,,,,,,,,,,,,,0.1,0.2,0.07071067811865478,0.15000000000000002,0.0,11,1,01 Varhaiskasvatus
11Suomen MielenterveysseuraHyvää mieltä yhdessä -hanke 2016-2017,36525.0,26400.0,0.0,7706.0,5100.0,89.0,0.0,0.0,0.0,0.0,0.0,75820.0,0.0,0.0,0.0,0.0,0.0,0.0,-75820.0,65.6414785621855,,Suomen Mielenterveysseura,Hyvää mieltä yhdessä -hanke 2016-2017,2.0,,,,,,,,,,,,,,-0.1,0.7,0.2328685835253557,0.23,0.0,11,1,01 Varhaiskasvatus
11Suomen Mielenterveysseura ryLapsen mielenterveyden edistäminen varhaiskasvatuksessa -hanke,34256.0,41000.0,0.0,8310.0,4674.0,3475.0,0.0,0.0,0.0,0.0,0.0,91715.0,0.0,0.0,0.0,0.0,0.0,0.0,-91715.0,44.47100785805984,,Suomen Mielenterveysseura ry,Lapsen mielenterveyden edistäminen varhaiskasvatuksessa -hanke,2.0,,,,,,,,,,,,,,-0.3,0.6,0.2709610901909626,0.08428571428571427,0.0,11,1,01 Varhaiskasvatus
11Haaga-Helia Ammatillinen opettajakorkeakouluDigiOstu - maahanmuuttajien osaamisen tunnistaminen,51651.0,357.0,2000.0,2511.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,57080.0,0.0,0.0,0.0,0.0,0.0,0.0,-57080.0,79.25922753734028,,Haaga-Helia Ammatillinen opettajakorkeakoulu,DigiOstu - maahanmuuttajien osaamisen tunnistaminen,1.0,,,,,,,,,,,,,,0.0,0.5,0.2065591117977289,0.2333333333333333,0.0,11,1,01 Varhaiskasvatus
11Haaga-Helia Ammatillinen opettajakorkeakouluNäyttötutkintomestarikoulutus,107101.0,2065.0,5558.0,6160.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,121519.0,0.0,0.0,0.0,0.0,0.0,0.0,-121519.0,76.44641432146474,,Haaga-Helia Ammatillinen opettajakorkeakoulu,Näyttötutkintomestarikoulutus,1.0,,,,,,,,,,,,,,0.0,0.1,0.07071067811865478,0.05,0.0,11,1,01 Varhaiskasvatus
11Haaga-Helia Ammatillinen opettajakorkeakouluTahtoa ja taitoa tasa-arvoon,58325.0,0.0,1600.0,11252.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,72355.0,0.0,0.0,0.0,0.0,0.0,0.0,-72355.0,79.48919355651715,,Haaga-Helia Ammatillinen opettajakorkeakoulu,Tahtoa ja taitoa tasa-arvoon,1.0,,,,,,,,,,,,,,0.3,0.6,0.21213203435596426,0.45,0.0,11,1,01 Varhaiskasvatus
11Haaga-Helia Ammatillinen opettajakorkeakouluTaidolla Duuniin,45616.0,522.0,2600.0,3228.0,2216.0,0.0,0.0,0.0,0.0,0.0,0.0,54182.0,0.0,0.0,0.0,0.0,0.0,0.0,-54182.0,79.35173262659653,,Haaga-Helia Ammatillinen opettajakorkeakoulu,Taidolla Duuniin,1.0,,,,,,,,,,,,,,0.3,0.4,0.07071067811865478,0.35,0.0,11,1,01 Varhaiskasvatus
11Haaga-Helia Ammatillinen opettajakorkeakouluTUTKEsta toimintaan II,100395.0,285.0,6845.0,3631.0,4182.0,0.0,0.0,0.0,0.0,0.0,0.0,115338.0,0.0,0.0,0.0,0.0,0.0,0.0,-115338.0,75.57440110368441,,Haaga-Helia Ammatillinen opettajakorkeakoulu,TUTKEsta toimintaan II,1.0,,,,,,,,,,,,,,0.2,0.9,0.3559026084010437,0.5,0.0,11,1,01 Varhaiskasvatus
"11Oulun ammttikorkeakoulu Oy/Ammatillinen opettajakorkeakouluPOKA ll - Perehdy, opi, kehitä –arvioi! ",53424.0,1521.0,4675.0,0.0,1819.0,1561.0,0.0,0.0,0.0,0.0,0.0,63000.0,0.0,0.0,0.0,0.0,0.0,0.0,-63000.0,77.98855520765842,,Oulun ammttikorkeakoulu Oy/Ammatillinen opettajakorkeakoulu,"POKA ll - Perehdy, opi, kehitä –arvioi! ",1.0,,,,,,,,,,,,,,0.1,0.3,0.11547005383792515,0.2,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluOpesta ohjaajaksi - opettaja opiskelijan toimijuuden tukena",54726.0,0.0,2008.0,387.0,3654.0,0.0,0.0,0.0,0.0,0.0,0.0,60775.0,0.0,0.0,0.0,0.0,0.0,0.0,-60775.0,79.31627412025381,,"Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakoulu",Opesta ohjaajaksi - opettaja opiskelijan toimijuuden tukena,1.0,,,,,,,,,,,,,,0.1,0.7,0.32145502536643183,0.3333333333333333,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluSparraamalla paremmaksi osaajaksi - Erityinen tuki ammatillisessa aikuiskoulutuksessa",53838.0,0.0,1308.0,7655.0,3355.0,0.0,0.0,0.0,0.0,0.0,0.0,66156.0,0.0,0.0,0.0,0.0,0.0,0.0,-66156.0,79.57954287876821,,"Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakoulu",Sparraamalla paremmaksi osaajaksi - Erityinen tuki ammatillisessa aikuiskoulutuksessa,3.0,,,,,,,,,,,,,,0.1,0.4,0.1414213562373095,0.23333333333333334,0.0,11,1,01 Varhaiskasvatus
"11Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakouluTUTKEsta toimintaan II",71306.0,0.0,4595.0,110.0,6635.0,0.0,0.0,0.0,0.0,0.0,0.0,82646.0,0.0,0.0,0.0,0.0,0.0,0.0,-82646.0,77.76154794503145,,"Jyväskylän ammattikorkeakoulu, ammatillinen opettajakorkeakoulu",TUTKEsta toimintaan II,2.0,,,,,,,,,,,,,,0.0,0.8,0.3000616823213809,0.2933333333333333,0.0,11,1,01 Varhaiskasvatus
"11Metropolia Ammattikorkeakoulu OySeksuaalisen häirinnän ennaltaehkäisy ammatillisissa oppilaitoksissa, 5 op",8569.0,0.0,0.0,407.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,9094.0,0.0,0.0,0.0,0.0,0.0,0.0,-9094.0,98.28369486011965,,Metropolia Ammattikorkeakoulu Oy,"Seksuaalisen häirinnän ennaltaehkäisy ammatillisissa oppilaitoksissa, 5 op",3.0,,,,,,,,,,,,,,-0.8,-0.5,,-0.7000000000000001,0.0,11,1,01 Varhaiskasvatus
11Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakouluJOHTO -Johtaminen muutoksessa,30398.0,740.0,4125.0,34050.0,3121.0,566.0,0.0,0.0,0.0,0.0,0.0,73000.0,0.0,0.0,0.0,0.0,0.0,0.0,-73000.0,77.87006566302466,,Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakoulu,JOHTO -Johtaminen muutoksessa,2.0,,,,,,,,,,,,,,0.0,0.3,0.09957819157813604,0.16666666666666666,0.0,11,1,01 Varhaiskasvatus
11Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakouluNäyttötutkintomestarikoulutus,101010.0,90.0,0.0,7137.0,4046.0,216.0,0.0,0.0,0.0,0.0,0.0,112499.0,0.0,0.0,0.0,0.0,0.0,0.0,-112499.0,78.80165859220033,,Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakoulu,Näyttötutkintomestarikoulutus,1.0,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,11,1,01 Varhaiskasvatus
11Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakouluYhdessä yhteisötakuuseen!,33422.0,835.0,3608.0,3915.0,2313.0,907.0,0.0,0.0,0.0,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,-45000.0,78.94889026082683,,Oulun ammattikorkeakoulu Oy Ammatillinen opettajakorkeakoulu,Yhdessä yhteisötakuuseen!,1.0,,,,,,,,,,,,,,0.0,0.5,0.2280350850198276,0.28,0.0,11,1,01 Varhaiskasvatus
"11Suomen ympäristöopisto SYKLIAmmattilaisen kädenjälki - ympäristöosaamisen tunnistaminen, hankkiminen ja arviointi",69588.0,346.0,1520.0,19403.0,5195.0,0.0,0.0,0.0,0.0,0.0,0.0,96052.0,0.0,0.0,0.0,0.0,0.0,0.0,-96052.0,79.19411293791302,,Suomen ympäristöopisto SYKLI,"Ammattilaisen kädenjälki - ympäristöosaamisen tunnistaminen, hankkiminen ja arviointi",5.0,,,,,,,,,,,,,,-0.7,0.9,0.3771236166328253,0.28,0.0,11,1,01 Varhaiskasvatus
11Tampereen ammattikorkeakoulu OyAmisTurvis - turvallisuus kuuluu kaikille!,35788.0,322.0,750.0,9602.0,552.0,0.0,0.0,0.0,0.0,0.0,0.0,47014.0,0.0,0.0,0.0,0.0,0.0,0.0,-47014.0,79.48785220575178,,Tampereen ammattikorkeakoulu Oy,AmisTurvis - turvallisuus kuuluu kaikille!,6.0,,,,,,,,,,,,,,-0.4,0.9,0.3440436402877264,0.22215608465608466,0.0,11,1,01 Varhaiskasvatus
11Tampereen ammattikorkeakoulu OyHanskaatko – kohti parempia opiskelija- ja opettajakokemuksia,43267.0,394.0,2500.0,10534.0,1418.0,0.0,0.0,0.0,0.0,0.0,0.0,58113.0,0.0,0.0,0.0,0.0,0.0,0.0,-58113.0,79.42257287134187,,Tampereen ammattikorkeakoulu Oy,Hanskaatko – kohti parempia opiskelija- ja opettajakokemuksia,3.0,,,,,,,,,,,,,,-0.7,0.9,0.2989407331092532,0.057407407407407414,0.0,11,1,01 Varhaiskasvatus
11Turun yliopistoOsaamisperusteisuus ja yrittäjyyskasvatus ammatillisessa koulutuksessa,55447.0,1372.0,3880.0,27334.0,998.0,25.0,0.0,0.0,0.0,0.0,0.0,89056.0,0.0,0.0,0.0,0.0,0.0,0.0,-89056.0,78.22672511830419,,Turun yliopisto,Osaamisperusteisuus ja yrittäjyyskasvatus ammatillisessa koulutuksessa,4.0,,,,,,,,,,,,,,-0.5,0.7,0.21911242200274456,0.1138888888888889,0.0,11,1,01 Varhaiskasvatus
"11Lapin yliopisto, KTK, Opetus- ja kasvatusalan täydennyskoulutusyksikköErityiset haasteet esiopetuksessa ja varhaiskasvatuksessa",14201.0,270.0,2414.0,20765.0,2350.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,-40000.0,79.19870456268384,,"Lapin yliopisto, KTK, Opetus- ja kasvatusalan täydennyskoulutusyksikkö",Erityiset haasteet esiopetuksessa ja varhaiskasvatuksessa,1.0,,,,,,,,,,,,,,0.4,0.9,0.2645751311064591,0.7000000000000001,0.0,11,1,01 Varhaiskasvatus
11Ilona IT OyMobiilitotaali-MOTO,24906.0,0.0,122.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25573.0,0.0,0.0,0.0,0.0,0.0,0.0,-25573.0,97.53751126856537,,Ilona IT Oy,Mobiilitotaali-MOTO,6.0,,,,,,,,,,,,,,-0.5,0.9,0.26378358385831324,0.115,0.0,11,1,01 Varhaiskasvatus
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaDet nya gymnasiet - en fortsättning,34581.0,206.0,1779.0,4494.0,3364.0,577.0,0.0,0.0,0.0,0.0,0.0,45001.0,0.0,0.0,0.0,0.0,0.0,0.0,-45001.0,79.53561379336385,,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,Det nya gymnasiet - en fortsättning,2.0,,,,,,,,,,,,,,-0.4,0.4,0.27492603620320405,-0.0875,0.0,11,1,01 Varhaiskasvatus
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaVägkost - plan för småbarnspedagogik 2017,40058.0,150.0,8746.0,4278.0,11780.0,0.0,0.0,0.0,0.0,0.0,0.0,65012.0,0.0,0.0,0.0,0.0,0.0,0.0,-65012.0,71.80215063440491,,Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan Novia,Vägkost - plan för småbarnspedagogik 2017,2.0,,,,,,,,,,,,,,0.0,0.7,0.2602413763431994,0.2803030303030303,0.0,11,1,01 Varhaiskasvatus
11EkvalitaOsallistava ja oikeudenmukainen koulua - En mera inkluderande  och rättvis skola,5120.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,5288.0,0.0,0.0,0.0,0.0,0.0,0.0,-5288.0,98.20453044256472,,Ekvalita,Osallistava ja oikeudenmukainen koulua - En mera inkluderande  och rättvis skola,1.0,,,,,,,,,,,,,,-0.8,-0.8,,-0.8,0.0,11,1,01 Varhaiskasvatus
11Svenska Österbottens förbund för utbildning och kultur sknExamensmästare 2016 och Vuxenutbildningskonferens 2017,39222.0,1400.0,0.0,3383.0,3044.0,211.0,0.0,0.0,0.0,0.0,0.0,47260.0,0.0,0.0,0.0,0.0,0.0,0.0,-47260.0,79.37351952532727,,Svenska Österbottens förbund för utbildning och kultur skn,Examensmästare 2016 och Vuxenutbildningskonferens 2017,3.0,,,,,,,,,,,,,,0.0,0.4,0.08964926384417386,0.125,0.0,11,1,01 Varhaiskasvatus
11Centret för livslångt lärande vid Åbo Akademi och yrkeshögskolan NoviaRC-insatser för modern naturvetenskap i skolan,15997.0,1068.0,1125.0,2728.0,3401.0,691.0,0.0,0.0,0.0,0.0,0.0,25010.0,0.0,0.0,0.0,0.0,0.0,0.0,-25010.0,79.43564505630984,,Centret för livslångt lärande vid Åbo Akademi och yrkeshögskolan Novia,RC-insatser för modern naturvetenskap i skolan,1.0,,,,,,,,,,,,,,0.0,0.6,0.4242640687119285,0.3,0.0,11,1,01 Varhaiskasvatus
11Suomen eOppimiskeskus ryOpen Päivitys 6 - Audiovisuaalinen osaaminen,28196.0,122.0,1518.0,213.0,767.0,1480.0,0.0,0.0,0.0,0.0,0.0,32296.0,0.0,0.0,0.0,0.0,0.0,0.0,-32296.0,79.29414382691256,,Suomen eOppimiskeskus ry,Open Päivitys 6 - Audiovisuaalinen osaaminen,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11,1,01 Varhaiskasvatus
11AP Haglund Oy / AmazementKaikki kuvaa EDU: esiopetus,37255.0,296.0,3654.0,870.0,65.0,591.0,0.0,0.0,0.0,0.0,0.0,42731.0,0.0,0.0,0.0,0.0,0.0,0.0,-42731.0,78.35421227450085,,AP Haglund Oy / Amazement,Kaikki kuvaa EDU: esiopetus,1.0,,,,,,,,,,,,,,0.0,0.5,0.24494897427831785,0.2,0.0,11,1,01 Varhaiskasvatus
"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)ELÄINTARINOITA - Oppimassa eläinten kanssa",12453.0,617.0,0.0,3938.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,17662.0,0.0,0.0,0.0,0.0,0.0,0.0,-17662.0,87.8051208891929,,"Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)",ELÄINTARINOITA - Oppimassa eläinten kanssa,1.0,,,,,,,,,,,,,,0.0,0.8,0.3696845502136472,0.55,0.0,11,1,01 Varhaiskasvatus
11Itä-Suomen yliopisto / AducateMaahanmuuttajalapset varhaiskasvatuksessa,35439.0,56.0,4568.0,3102.0,1863.0,0.0,0.0,0.0,0.0,0.0,0.0,45028.0,0.0,0.0,0.0,0.0,0.0,0.0,-45028.0,78.12577526256769,,Itä-Suomen yliopisto / Aducate,Maahanmuuttajalapset varhaiskasvatuksessa,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11,1,01 Varhaiskasvatus
11Tampereen yliopistoVasu käytäntöön varhaiskasvatuksen jaetulla johtajuudella,42070.0,0.0,5631.0,1925.0,72.0,450.0,0.0,0.0,0.0,0.0,0.0,50148.0,0.0,0.0,0.0,0.0,0.0,0.0,-50148.0,76.57684598974083,,Tampereen yliopisto,Vasu käytäntöön varhaiskasvatuksen jaetulla johtajuudella,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,11,1,01 Varhaiskasvatus
"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)VäKä - Välineitä käsityönopetuksen muutokseen",53640.0,8894.0,2038.0,3376.0,2252.0,0.0,0.0,0.0,0.0,0.0,0.0,70200.0,0.0,0.0,0.0,0.0,0.0,0.0,-70200.0,78.48996148093077,,"Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)",VäKä - Välineitä käsityönopetuksen muutokseen,2.0,,,,,,,,,,,,,,0.0,0.8,0.28401732137850394,0.525,0.0,11,1,01 Varhaiskasvatus
"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)Vertaisryhmämentorointi varhaiskasvatuksen kehittäjänä",13753.0,474.0,1450.0,2666.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,18819.0,0.0,0.0,0.0,0.0,0.0,0.0,-18819.0,79.28052642597876,,"Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)",Vertaisryhmämentorointi varhaiskasvatuksen kehittäjänä,1.0,,,,,,,,,,,,,,0.0,0.4,0.28284271247461906,0.2,0.0,11,1,01 Varhaiskasvatus
11Metropolia Ammattikorkeakoulu OyKestävä tulevaisuus ja monialainen oppiminen ,35725.0,0.0,0.0,12004.0,93.0,403.0,0.0,0.0,0.0,0.0,0.0,48225.0,0.0,0.0,0.0,0.0,0.0,0.0,-48225.0,91.22248297880178,,Metropolia Ammattikorkeakoulu Oy,Kestävä tulevaisuus ja monialainen oppiminen ,2.0,,,,,,,,,,,,,,0.0,0.4,,0.2,0.0,11,1,01 Varhaiskasvatus
11HY+ OySanahanat auki monilukutaitoon,32607.0,0.0,2169.0,11608.0,33.0,2224.0,0.0,0.0,0.0,0.0,0.0,48641.0,0.0,0.0,0.0,0.0,0.0,0.0,-48641.0,79.24191653182676,,HY+ Oy,Sanahanat auki monilukutaitoon,2.0,,,,,,,,,,,,,,0.0,0.6,0.28284271247461895,0.2,0.0,11,1,01 Varhaiskasvatus
11HY+ OyTunnista hyvä – Kotitalousopetus ja erityisen tuen tarvitsijat,58346.0,0.0,1248.0,2568.0,995.0,5180.0,0.0,0.0,0.0,0.0,0.0,68337.0,0.0,0.0,0.0,0.0,0.0,0.0,-68337.0,79.38129934436445,,HY+ Oy,Tunnista hyvä – Kotitalousopetus ja erityisen tuen tarvitsijat,10.0,,,,,,,,,,,,,,-0.5,0.9,0.2970055371507421,0.13601762247414426,0.0,11,1,01 Varhaiskasvatus
11Diakonia-ammattikorkeakoulu Oy (Diak)Kulttuurien ja uskontojen välinen vuorovaikutus oppilaitoksissa (5op),22786.0,0.0,4000.0,3468.0,885.0,0.0,0.0,0.0,0.0,0.0,0.0,31139.0,0.0,0.0,0.0,0.0,0.0,0.0,-31139.0,78.34464060251757,,Diakonia-ammattikorkeakoulu Oy (Diak),Kulttuurien ja uskontojen välinen vuorovaikutus oppilaitoksissa (5op),1.0,,,,,,,,,,,,,,0.9,0.9,,0.9,0.0,11,1,01 Varhaiskasvatus
