,unique,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean
1224,58Kinnulan kuntaTutoropettajien osaamisen kehittäminen,,,,,,,,,,,,1,,,0.0,0.8,0.27774602993176545,0.15
1225,58Kirkkonummen kuntaTutorit - opetuksen ja oppimisen tukena Kirkkonummella,,,2,,,,,,,,2,,,,-0.2,0.1,,0.0
1226,58Kiteen kaupunkiKiteen tutoropettajien toiminta,,,,,,,,,,,1,,,,0.3,0.3,,0.3
1227,58Kittilän kuntaDigiloikka tutuksi Kittilässä,,,,,,2,,,,,,1,,,0.1,0.6,,0.3666666666666667
1228,58Kokemäen kaupunkiTutoropettajien toiminta,,,1,,,,,,,,,1,,,0.1,0.1,,0.1
1229,58Kokkolan kaupunkiTutoropettajien toiminta Kokkolassa,,,1,,,,,,,,,,,,0.0,0.0,,0.0
1230,58Konneveden kuntaKonneveden tutoropettajien toiminta ,,,1,,,,,,,,,1,2,,-0.2,0.7,0.27934856899013205,0.2729166666666667
1231,58Kontiolahden kuntaKontiolahden tutor-opettajatoiminta ,,,1,,,,,,,,,1,,,0.0,0.3,0.17320508075688773,0.05
1232,58Korsholms kommunDiGiTu,,,,,,,,,,,,1,,,0.0,0.3,0.21213203435596426,0.15
1233,58Kotka Svenska SamskolaTutorlärare i KSS,,,1,,,,,,,,,,,,-0.1,0.0,0.07071067811865478,-0.05
1234,58Kotkan kaupunkiKotkan perusopetuksen tutoropettajien toiminta,,,,,,,,,,,1,1,,,0.0,0.4,0.1353553390593274,0.12500000000000003
1235,58Kouluyhdistys Pestalozzi Schulverein Skolföreningen ryTutoropettajien toiminta,,,,,,,,,,,,2,,,-0.1,0.2,0.14142135623730953,0.05
1236,58Kouvolan kaupunki#tutorkouvola2,,,1,,,,,,,,,,,,0.0,0.0,,0.0
1237,58Kronoby kommunTutorlärande i Kronoby kommun,,,,,,,,,,,,1,,,-0.1,0.8,0.4932882862316248,0.23333333333333334
1238,58Kuhmoisten kuntaTutorope lähitukena,,,,,,,,,,,,2,1,,0.0,0.5,0.13228756555322954,0.20000000000000004
1239,58Kuhmon kaupunkiKuhmon digitutortoiminta,,,,,,,,,,,,1,,,0.4,0.5,0.07071067811865474,0.45
1240,58Kulosaaren yhteiskoulun osakeyhtiöWe can make it together,,,,,,2,,,,,1,,1,,-0.7,0.9,0.31291025620969615,0.13125
1241,58Kuopion kaupunkiTutoroinnilla tulevaisuuteen,,,2,,,1,,,,,4,2,,,-0.1,0.8,0.3774917217635375,0.019444444444444445
1242,58Kuopion kristillisen päiväkodin ja koulun kannatusyhditys ryKukrin Tutoropettajatoimintahanke,,,,,,,,,,,,1,,,-0.5,0.8,0.51478150704935,0.3
1243,58Kuortaneen kuntaKuortaneen perusopetus 2020-luvulle,,,2,,,,,,,,,2,,,0.0,0.4,,0.25
1244,58Kurikan kaupunkiTutoropettajat Kurikassa 2017-2018,,,1,,,,,,,,,2,,,-0.5,0.7,0.07637626158259732,0.011111111111111108
1245,58Kustavin kuntaVakka-Suomen opstutorit/Kustavi,,,,,,,,,,,,1,,,0.0,0.5,0.2645751311064591,0.3
1246,58Kuusamon kaupunkiTutorit koulutyön arjessa,,,2,,,,,,,,,1,,,-0.1,0.9,0.4315450408099719,0.2750000000000001
1247,58Kymenlaakson steinerkoulun kannatusyhdistys ryDigitutorointi steinerkoulussa,,,,,,,,,,,,1,,,-0.1,0.5,0.42426406871192857,0.2
1248,58Kyyjärven kuntaUusi peruskoulu; Hakuryhmä 2: Tutoropettajien toiminta,,,,,,1,,,,,1,1,,,0.0,0.3,0.17320508075688773,0.10000000000000002
1249,58Kärsämäen kuntaToimiva tutor- verkosto virtaamaan!,1,,,,,,,,,,,,,,0.3,0.3,,0.3
