,unique,haku_id,osa_alue_id,osa_alue_nimi
174,25Suomen Youth For Understanding rySuomalaisten vaihto-oppilaiden apurahat,25,6,06 Järjestötoiminta
175,25Lappeenrannan kristillinen kasvatus ry / Lappeenrannan kristillinen kouluKouluPlus Lappeenranta - Kristillisten koulujen kerho- ja harrastetoiminnan kehittämishanke,25,6,06 Järjestötoiminta
176,25Suomen Adventtikirkko/KoulutoimiKouluPlus -Kristillisten koulujen kerho- ja harrastetoiminnan kehittämishanke ,25,6,06 Järjestötoiminta
177,25Keski-Uudenmaan kristillinen kouluKouluPlus,25,6,06 Järjestötoiminta
178,28Haapajärven kaupunkiTubeta Tiedettä - luonnontieteiden ilmiöt esityksiksi,28,2,02 Esi- ja perusopetus
179,28Vantaan kaupunkiTulevaisuuden oppimistila - digioppimisen Living Lab,28,2,02 Esi- ja perusopetus
180,28Järvenpään kaupunkiMeidän koulu muotoilee,28,2,02 Esi- ja perusopetus
181,28Savonlinnan kaupunkiVoit(olla) paras oppija! ,28,2,02 Esi- ja perusopetus
182,28Espoon kaupunkiSuomi 100 - Joustava polku korkea-asteelle hyvillä opiskeluvalmiuksilla,28,2,02 Esi- ja perusopetus
183,28Joroisten kuntaFrisbaa - Luonnontieteitä ja tietotekniikka liikunnallisesti frisbeegolfin avulla ,28,2,02 Esi- ja perusopetus
184,28Joensuun kaupunkiLukion pedagogiikkaa uudistamaan (LUPU),28,2,02 Esi- ja perusopetus
185,28Sibbo kommun Främjande av ny verksamhetskultur i gymnasieutbildningen,28,2,02 Esi- ja perusopetus
186,28Lovisa stad/Lovisa GymnasiumModerna inlärningsmiljöer i Lovisa Gymnasium,28,2,02 Esi- ja perusopetus
187,"28Vanda stad, bildningsväsendetLearning by sharing",28,2,02 Esi- ja perusopetus
188,"28Joensuun normaalikoulu, Itä-Suomen yliopistoKoe ja kokeile",28,2,02 Esi- ja perusopetus
189,28Kuopion kaupunkiUudet oppimisen arviointitavat ja oppimispolut lukiosta yliopistoon,28,2,02 Esi- ja perusopetus
190,"28Turun kaupunki, sivistystoimialaYtimessä ydintaidot",28,2,02 Esi- ja perusopetus
191,28Vantaan kaupunkiKulttuuritili eli Kultsi,28,2,02 Esi- ja perusopetus
192,28Viipurin Reaalikoulu oyLuova lukio - innovatiivisen oppimisen yhteisö,28,2,02 Esi- ja perusopetus
193,"28Pedersöre kommun, Pedersöre gymmasiumDet gränslösa gymnasiet",28,2,02 Esi- ja perusopetus
